CouncilDistrict,Percent Turnout,Geometry,Latitude (generated),Longitude (generated),Number of Records,Voted2017PE
1,18.9116273,MultiPolygon,40.702553983,-74.013049777,60788,11496
2,20.2146347,MultiPolygon,40.722670949,-73.979647728,67743,13694
3,15.4185793,Polygon,40.751249356,-74.003895517,74287,11454
4,18.6811089,MultiPolygon,40.743885441,-73.970408808,57609,10762
5,17.7682894,MultiPolygon,40.765790558,-73.952193543,59488,10570
6,25.3773724,Polygon,40.785399323,-73.977585912,81352,20645
7,16.1475702,Polygon,40.82077347,-73.955800623,81263,13122
8,12.7644755,MultiPolygon,40.802528704,-73.928481625,76094,9713
9,17.1175265,Polygon,40.820964121,-73.938670389,90235,15446
10,15.2773819,MultiPolygon,40.863932574,-73.923054517,80701,12329
11,13.107766100000001,Polygon,40.88736211,-73.888074961,60056,7872
12,15.2014911,Polygon,40.881132291,-73.848746928,77795,11826
13,17.5697993,MultiPolygon,40.841068836,-73.804711181,51469,9043
14,11.6694067,Polygon,40.86141278,-73.906432118,62651,7311
15,8.7317526,Polygon,40.857930403,-73.881229669,59255,5174
16,10.218592899999999,Polygon,40.838215219,-73.916812874,68209,6970
17,10.5498502,MultiPolygon,40.811929262,-73.898174555,67091,7078
18,13.065459200000001,MultiPolygon,40.814982978,-73.855325198,71999,9407
19,12.7431774,MultiPolygon,40.785247314,-73.812483887,43898,5594
20,17.0958847,Polygon,40.753392601,-73.812275317,38442,6572
21,16.390855100000003,Polygon,40.772994235,-73.86531173,40547,6646
22,10.6028111,MultiPolygon,40.783296975,-73.892795293,52222,5537
23,11.1376293,Polygon,40.737768014,-73.748422903,55308,6160
24,12.436775299999999,Polygon,40.721309388,-73.809715235,51404,6393
25,11.6838118,Polygon,40.744971692,-73.882021836,46466,5429
26,8.4826653,Polygon,40.742976616,-73.943278207,54688,4639
27,13.181132100000001,Polygon,40.700754618,-73.771422255,79500,10479
28,12.6960673,Polygon,40.666294294,-73.796148441,70384,8936
29,11.1939698,Polygon,40.716897585,-73.844052013,49750,5569
30,8.844635400000001,Polygon,40.71841463,-73.908654842,40273,3562
31,10.658684300000001,MultiPolygon,40.613527768,-73.781846346,69821,7442
32,11.5591901,MultiPolygon,40.602474916,-73.854983757,48057,5555
33,14.1865527,Polygon,40.715527003,-73.963659757,75346,10689
34,14.870424300000002,Polygon,40.711732928,-73.92847614,71464,10627
35,21.890490800000002,Polygon,40.685848753,-73.966666907,88157,19298
36,14.353991299999999,Polygon,40.686079936,-73.940400454,82228,11803
37,9.829003799999999,Polygon,40.684862461,-73.898010234,61054,6001
38,18.843454,Polygon,40.662729147,-74.010661757,44875,8456
39,21.935301900000002,Polygon,40.668298756,-73.988166888,74469,16335
40,19.748101600000002,Polygon,40.648187032,-73.957744074,70584,13939
41,15.066079299999998,Polygon,40.669495265,-73.921028114,74910,11286
42,13.506917299999998,MultiPolygon,40.61845984,-73.852062851,76620,10349
43,22.0405755,Polygon,40.602434263,-74.009859472,62698,13819
44,8.6959935,Polygon,40.619721504,-73.979043165,38213,3323
45,14.4568525,Polygon,40.63529276,-73.936589008,72623,10499
46,13.2630987,MultiPolygon,40.600853891,-73.912077,71190,9442
47,9.3944369,Polygon,40.582063135,-73.985840245,43249,4063
48,13.152149899999998,MultiPolygon,40.58497819,-73.942817547,40769,5362
49,15.534737100000001,MultiPolygon,40.636707287,-74.144689229,55186,8573
50,9.1491597,MultiPolygon,40.594283361,-74.156032385,38080,3484
51,8.168511500000001,Polygon,40.543616378,-74.191240869,33066,2701
